c_RegimenFiscal,Descripción,Física,Moral,"Fecha de inicio de vigencia","Fecha de fin de vigencia"
601,"General de Ley Personas Morales",0,1,1/1/2022,
603,"Personas Morales con Fines no Lucrativos",0,1,1/1/2022,
605,"Sueldos y Salarios e Ingresos Asimilados a Salarios",1,0,1/1/2022,
606,"Arrendamiento",1,0,1/1/2022,
607,"Régimen de Enajenación o Adquisición de Bienes",1,0,1/1/2022,
608,"Demás ingresos",1,0,1/1/2022,
610,"Residentes en el Extranjero sin Establecimiento Permanente en México",1,Sí,1/1/2022,
611,"Ingresos por Dividendos (socios y accionistas)",1,0,1/1/2022,
612,"Personas Físicas con Actividades Empresariales y Profesionales",1,0,1/1/2022,
614,"Ingresos por intereses",1,0,1/1/2022,
615,"Régimen de los ingresos por obtención de premios",1,0,1/1/2022,
616,"Sin obligaciones fiscales",1,0,1/1/2022,
620,"Sociedades Cooperativas de Producción que optan por diferir sus ingresos",0,1,1/1/2022,
621,"Incorporación Fiscal",1,0,1/1/2022,
622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras",0,1,1/1/2022,
623,"Opcional para Grupos de Sociedades",0,1,1/1/2022,
624,"Coordinados",0,1,1/1/2022,
625,"Régimen de las Actividades Empresariales con ingresos a través de Plataformas Tecnológicas",1,0,1/1/2022,
626,"Régimen Simplificado de Confianza",1,Sí,1/1/2022,
