"C81","Radián","Es la unidad de medida de un ángulo con vértice en el centro de un círculo cuyos lados son cortados por el arco de la circunferencia, y que además dicho arco tiene una longitud igual a la del radio."
"C25","Milirradián","Es una unidad derivada sistema internacional para la medición angular , que se define como una milésima parte de un radián (0,001 radianes)."
"B97","Microrradián","Unidad de distancia angular igual a una milésima de milliradian. Unidad angular - una unidad de medida para ángulos."
"DD","Grado [unidad de ángulo]","Es el resultado de dividir el ángulo llano en 180 partes iguales."
"D61","Minuto [unidad de ángulo]","Es una sexagesima parte de un grado."
"D62","Segundo [unidad de ángulo]","es una unidad de medida angular. Su valor equivale a 1/60 del minuto de arco y a 1/3600 del grado sexagesimal."
"A91","Grado centesimal","Sinónimo: grado
El grado centesimal o gon —también llamado gradián (plural: gradianes) y gonio — es una unidad de medida de ángulos planos, alternativa al grado sexagesimal y al radián."
"M43","Mil",
"M44","Revolución","Unidad para identificar un ángulo de un círculo de 360 grados ó 2*pi*radio (Referencia ISO/TC12 SI Guía)."
"D27","Estereorradían","Es la unidad que mide angulos solidos"
"H57","Pulgada por dos pi por radián",
"MTR","Metro","El metro (símbolo m) es la principal unidad de longitud del Sistema Internacional de Unidades. Un metro es la distancia que recorre la luz en el vacío en un intervalo de 1/299 792 458 de segundo."
"E96","Grado por segundo",
"H27","Grado por metro",
"M55","Metro por radián","Unidad del factor de conversión para la implementación de rotación a movimiento lineal."
"DMT","Decímetro","Es una unidad de longitud. Es el primer submúltiplo del metro y equivale a la décima parte de él."
"CMT","Centímetro","Es una unidad de longitud. Es el segundo submúltiplo del metro y equivale a la centésima parte de él."
"4H","Micra","El micrómetro, micrón o micra es una unidad de longitud equivalente a una milésima parte de un milímetro."
"MMT","Milímetro","Es una unidad de longitud. Es el tercer submúltiplo del metro y equivale a la milésima parte de él. "
"HMT","Hectómetro","Es una unidad de longitud. Equivale a 100 metros. Hecto es el prefijo para 100 en el Sistema Internacional de Unidades."
"KMT","Kilómetro","Es una unidad de longitud. Es el tercer múltiplo del metro, equivalente a 1000 metros. Su símbolo es km y no acepta plural ni lleva punto final —excepto cuando se encuentra como último elemento de una frase u oración— por no tratarse de una abreviatura."
"C45","Nanómetro","Medida de longitud que equivale a la milmillonésima parte del metro."
"C52","Picómetro","Es una unidad de longitud del SI que equivale a una billonésima (0,000 000 000 001 o 1×10-12) parte de un metro."
"A71","Femtómetro","Es la unidad de longitud que equivale a una milbillónesima parte del metro."
"A45","Decámetro","Medida de longitud, de símbolo dam o Dm, que es igual a 10 metros."
"NMI","Milla náutica","Es una unidad de longitud empleada en navegación marítima y aérea."
"A11","Ángstrom","El ángstrom es una unidad de longitud empleada principalmente para expresar longitudes de onda, distancias moleculares y atómicas, etc."
"A12","Unidad astronómica","Es una unidad de longitud igual por definición a 149 597 870 700 metros, y que equivale aproximadamente a la distancia media entre el planeta Tierra y el Sol."
"C63","Pársec","Es una unidad de medida astronómica bastante utilizada para calcular grandes distancias entre objetos. "
"F52","Metro por kelvin",
"F50","Micrómetro por kelvin",
"F51","Centímetro por kelvin",
"G06","Milímetro por bar ",
"H84","Gramos milímetro",
"G04","Centímetro por bar",
"G05","Metro por bar ",
"H79","Escala francesa ","Unidad de longitud usada para la medición de los diámetros de pequeños tubos como instrumentos urológicos y catéteres.                                                       
Sinónimos: Francés, Charrière, Charrière gauge."
"AK","Braza","Una braza es una unidad de longitud náutica, usada generalmente para medir la profundidad del agua. Se llama braza porque equivale a la longitud de un par de brazos extendidos, aproximadamente dos metros, ó 6 pies en el sistema de medición estadounidense."
"X1","Cadena de gunter","empleada para medir distancias, formada por 100 eslabones metálicos, equivalentes a una longitud total de 20.1168 metros (66 pies) que aún es ampliamente usada en los países anglosajones. "
"INH","Pulgada","Es una unidad de longitud antropométrica que equivale al ancho de la primera falange del pulgar, y más específicamente a su falange distal."
"M7","Micro-pulgada",
"FOT","Pie","Unidad de medida empleada por aeronautas, equivale a 30.48 cm"
"YRD","Yarda","Es la unidad de longitud básica en los sistemas de medida utilizados en Estados Unidos, Panamá y Reino Unido.
Equivale a 91.4 centímetros."
"SMI","Milla (milla estatal)","Medida de longitud, especialmente utilizada en marina, que equivale a 1,852 m."
"77","Mili-pulgada",
"B57","Año luz","Unidad de longitud que considera la distancia a la que viaja la luz en el vacío en un año."
"F49","Rod","Unidad de distancia equivalente a 5.5 yardas (16 pies 6 pulgadas)"
"MAM","Megametro","Es la unidad de longitud que equivale a un millón de metros."
"K13","Pie por grado fahrenheit",
"K17","Pie por psi (libra por pulgada cuadrada)",
"K45","Pulgada por grado fahrenheit",
"K46","Pulgada por psi (libra por pulgada cuadrada)",
"L98","Yarda por grado fahrenheit",
"L99","Yarda por psi (libra por pulgada cuadrada)",
"M49","Cadena "," Es una unidad de longitud utilizada para medir terrenos. Equivale a 20,1168 metros, y en inglés se llama surveyor chain."
"M50","Estadio","Unidad comunmente usada en Gran Bretaña en distancias rurales: 1 furlong = 40 rods = 10 cadenas (UK) =1/8 de milla = 1/10 furlong = 220 yardas =660 pies."
"M51","Pie","Unidad comunmente usada en los estados unidos para la inspección de artillería."
